t,B00_A_0000,B00_A_0001,B00_A_0002,B00_A_0003,B00_A_0004,B00_A_0005,B00_A_0006,B00_A_0007,B00_A_0008,B00_A_0009,B00_A_0010,B00_A_0011,B00_A_0012,B00_A_0013,B00_A_0014,B00_A_0015,B00_A_0016,B00_A_0017,B00_A_0018,B00_A_0019,B00_A_0020,B00_A_0021,B00_A_0022,B00_A_0023,B00_A_0024,B00_A_0025,B00_A_0026,B00_A_0027,B00_A_0028,B00_A_0029,B00_A_0030,B00_A_0031,B00_A_0032,B00_A_0033,B00_A_0034,B00_A_0035,B00_A_0036,B00_A_0037,B00_A_0038,B00_A_0039,B01_A_0000,B01_A_0001,B01_A_0002,B01_A_0003,B01_A_0004,B01_A_0005,B01_A_0006,B01_A_0007,B01_A_0008,B01_A_0009,B02_A_0000
0.0,(0.03125000000002767-4.198392664349809e-14j),(4.224322714557583e-17+1.3253016305953995e-16j),(-1.0452386569145126e-17+1.0042422622672983e-17j),(2.0518949630814917e-17-4.9331198848218164e-18j),(-4.629458573230363e-18+3.070325027215336e-17j),(1.0406646789993275e-17-8.456776945408827e-18j),(-2.645072136045214e-18-7.638119601885427e-19j),(2.1116531375104373e-18+7.815149487862034e-18j),(3.3103402831499364e-16-1.2941308181363604e-16j),(-2.084053415957032e-15-2.476317761963303e-16j),(9.368184396656815e-18-1.807907122624259e-17j),(-3.337309812190583e-19+1.528470953324342e-18j),(-2.249137172762007e-19-1.121789259522818e-19j),(-7.521652571637659e-19+1.6030098526829133e-19j),(-3.373332429371507e-14-7.332068979756354e-14j),(-1.4399560103360385e-20+6.837144071136006e-19j),(-1.4270268994291152e-15+9.128982292351581e-17j),(-8.597384414653406e-18+4.039330718876765e-17j),(-2.981555974342856e-19+3.961573094318619e-18j),(2.7206698265878562e-18+4.584608178673132e-17j),(5.016603452103416e-16-6.085626794176891e-16j),(5.286400386463555e-16+9.864884516928022e-17j),(5.49724382769464e-16+8.581148487120392e-15j),(-1.543632843080233e-17+3.550762114899219e-18j),(1.8431436932301292e-17-6.840638082043438e-17j),(3.603278157629122e-18-4.9737774662901276e-18j),(1.700164531733233e-17+1.1248597539566229e-18j),(6.193928426813106e-20+1.2636672781882808e-19j),(-2.69641080297843e-15+1.921531510301034e-15j),(2.375080384107207e-18-7.691059161088958e-19j),(-1.8121355110969635e-15-1.2429293705406e-15j),(-7.849623728815374e-17+7.537915604224984e-17j),(1.1621292036359086e-18-4.3483283380359335e-17j),(3.538492544873189e-20+1.213639394740944e-20j),(-3.7003820147026064e-16-1.3776313260769055e-16j),(4.184342759447076e-19+1.609362599787337e-20j),(-3.3068166260893493e-18-7.047314121174023e-19j),(-1.7745340245023533e-19+2.4775713707252424e-20j),(-5.941936125004299e-19-2.9879087214472795e-19j),(4.387630666788635e-19-3.964114193160388e-19j),(0.03125000000000001+2.5015822855101097e-17j),(4.8274400700778506e-20-1.4091494294077475e-21j),(-1.1178586804162521e-20-1.5225156834639727e-22j),(-1.3129346161048698e-16-3.839135298623604e-17j),(-8.356708202096651e-19+6.0183208908088975e-18j),(-3.288560553869851e-22+4.532531818283001e-22j),(-1.4867894983528337e-23-4.110958649853321e-23j),(1.24221244099004e-18-1.0900461550455764e-19j),(-1.2792348173132558e-21-9.504305238234277e-22j),(9.575442770913838e-21-2.4861740490893773e-20j),(0.03125+0j)
0.005,(0.03011826900020298-0.0015187864644012493j),(2.962410435914563e-06-9.04362810019715e-07j),(8.609362786810012e-07+1.5134840849308979e-07j),(4.61432036697377e-07-7.674232112675226e-08j),(-1.7965022895074179e-07+9.181575995485938e-09j),(-9.86325597003113e-08-7.173512775280878e-09j),(-5.770133298762112e-09+2.841664733549362e-09j),(-1.4411299297123433e-07+3.4709211531153926e-07j),(8.151407594927464e-07-5.360177919657498e-07j),(5.431768546661552e-06+4.0128175808244305e-05j),(-8.474969583902683e-07+3.749839426320603e-07j),(9.093407804312024e-08+1.363242206989351e-08j),(5.226687580033697e-09-1.4563445907173531e-10j),(3.3353294711918925e-08+5.45923353763806e-09j),(-3.738551656705003e-06-5.924169119265373e-06j),(1.2055021687538118e-08-1.3915546584305199e-08j),(-2.222929808258096e-05+6.642717860202887e-06j),(-6.675200027757673e-07+8.411999539638392e-07j),(-1.623076757713531e-07+2.7980676612938204e-07j),(2.3093400503932047e-08-3.857933856647343e-07j),(-1.681231591802416e-05-8.848482700861934e-06j),(-5.153684003347583e-06-3.0372288527026655e-06j),(-1.0388101361393204e-06+8.24583902590854e-07j),(7.09283352611439e-07+1.5562841153013247e-06j),(-1.1653894618654631e-07-2.1510942432553576e-06j),(1.966934354525937e-08-1.5367680210926847e-08j),(1.7791651555771763e-07+5.6631190318472e-08j),(8.352758195315965e-09+6.990067108578654e-09j),(0.00025192224582745916-5.60764560613997e-05j),(-1.863220522555963e-07+1.2519423018011927e-07j),(-0.0001271181591073578+6.872056838283287e-05j),(-2.867716220806166e-07+1.258308991059236e-06j),(2.2848774835037047e-06+2.500701700208228e-07j),(-4.1568630697083554e-09+9.745357256015591e-10j),(2.499431084722003e-06+1.6908526528004374e-06j),(-4.610833413037208e-08-4.08176103601922e-09j),(2.7815331105221575e-07-2.517544476321548e-08j),(1.5091560767474632e-08+1.0894505167479676e-08j),(3.682975050767839e-08+3.779467302273572e-08j),(-6.792887637250734e-08+8.410074882621713e-08j),(0.03119626500238658-0.0003483095304480474j),(-3.0604768496680053e-07-4.5212335124159437e-07j),(9.142358246158708e-09+1.2669524662081031e-08j),(3.0097460701856104e-07+1.1792380695183547e-06j),(1.0244576497537108e-06+3.234225648131915e-06j),(8.170477151363737e-09-2.8351113471250913e-09j),(-2.1338236697578102e-10+2.8622410863758264e-09j),(-2.274772014885808e-06-4.008719842731351e-05j),(1.556292556448602e-07+3.3871468458140285e-08j),(-2.4046678535913617e-08+4.735645761730586e-08j),(0.031153374204744403-0.00017946251436737549j)
0.01,(0.028926103530572022-0.0029528175097851624j),(5.749157231095834e-06-2.1157869532295507e-06j),(1.7169311731983782e-06+2.2013740127832355e-07j),(9.189624776195951e-07-1.8227180178762012e-07j),(-3.5182487193445154e-07+2.8482108863119636e-08j),(-1.9597133077676702e-07-8.030392151682945e-09j),(-1.0786582299568157e-08+6.022233070674318e-09j),(-2.5969795533549934e-07+6.95743049617613e-07j),(1.5535311856302363e-06-1.205788467517702e-06j),(1.4666391177408052e-05+7.629034564558061e-05j),(-1.6495155831484331e-06+7.968553224581492e-07j),(1.8138516262113576e-07+1.9309389662228287e-08j),(1.0379226806300621e-08-9.108709541314689e-10j),(6.570572531534816e-08+7.78123881039052e-09j),(-6.452026668441467e-06-1.1864479177020063e-05j),(2.1894737719628668e-08-2.8815283548284104e-08j),(-4.179323827246348e-05+1.3809732047642004e-05j),(-1.2132490713724473e-06+1.6588591015873586e-06j),(-3.113544242046885e-07+5.626140461656476e-07j),(-1.4464086295449219e-08-7.492502419467062e-07j),(-3.349254155492533e-05-1.555033198739125e-05j),(-1.0238521714811822e-05-5.131518376667529e-06j),(-1.9120937656903653e-06+1.8045060955408778e-06j),(1.526558297473194e-06+3.016877042495207e-06j),(-2.804436098263241e-07-4.301808701063109e-06j),(3.9491564799798883e-08-3.1411458025821935e-08j),(3.455346830021262e-07+1.153482135247318e-07j),(1.6779371989491514e-08+1.2922685935734605e-08j),(0.0004943629798147848-0.00012858479973908285j),(-3.575675749577215e-07+2.600124006720052e-07j),(-0.00024283557394276482+0.00014508050898827336j),(-5.0220416294983e-07+2.4414048326319554e-06j),(4.562644518173611e-06+2.9611622165082034e-07j),(-8.09347258893283e-09+2.2735899309602774e-09j),(5.0069394153713806e-06+2.691023557324466e-06j),(-8.925822531884284e-08+9.169259014664955e-10j),(5.484015594756804e-07-9.063081000777565e-08j),(3.122555021330324e-08+1.892565083733001e-08j),(7.469662480906014e-08+7.075120209512293e-08j),(-1.2587510707711083e-07+1.7361819477640938e-07j),(0.031133585510617144-0.0007005612232780863j),(-6.42145395692822e-07-8.889874694666931e-07j),(1.836279238860339e-08+2.544110191433749e-08j),(6.011200485975524e-07+2.384153080867384e-06j),(1.930262431130463e-06+6.587539510571869e-06j),(1.6046211630081364e-08-7.094289773309935e-09j),(-2.4667180727007194e-10+5.725010947971076e-09j),(-6.706561587391355e-06-8.075846049659816e-05j),(3.0980478751116144e-07+6.691665597613879e-08j),(-5.207899060220992e-08+9.101899719326701e-08j),(0.031048887893301198-0.00035602629602400295j)
0.015,(0.02768087425362922-0.0042999297802598655j),(8.348240664610386e-06-3.6199470497499403e-06j),(2.5659078770365304e-06+2.1036201840027543e-07j),(1.3745570489261367e-06-3.1507059506578446e-07j),(-5.183069358608189e-07+5.712413748064181e-08j),(-2.9293946934008024e-07-4.337876136521179e-09j),(-1.5050759649984774e-08+9.389583175885377e-09j),(-3.4967436209351617e-07+1.0476741298687257e-06j),(2.200705917949993e-06-2.010241102972958e-06j),(2.874520834208226e-05+0.00010738482223489772j),(-2.408526836045414e-06+1.2609858254864635e-06j),(2.7176842471201527e-07+1.734895928329054e-08j),(1.5466427616758757e-08-2.290787930821644e-09j),(9.715589291347005e-08+7.2061037792001474e-09j),(-7.974143726752922e-06-1.808503486540954e-05j),(2.950741252794773e-08-4.4568198187084434e-08j),(-5.8329747524768366e-05+2.152404609446606e-05j),(-1.6372125966742614e-06+2.4576963009802724e-06j),(-4.507108273625149e-07+8.50159990025315e-07j),(-1.1237815921376516e-07-1.0902002086778867e-06j),(-5.000566364558008e-05-1.9506226641720995e-05j),(-1.529364855511034e-05-6.2509402383078366e-06j),(-2.6026997670132004e-06+2.9384959166002697e-06j),(2.438509072741137e-06+4.383310273705267e-06j),(-4.6707564138249693e-07-6.48887439814284e-06j),(5.720308852131801e-08-4.7277344666076115e-08j),(5.063730738393829e-07+1.7562019040002146e-07j),(2.532273142796223e-08+1.783205552203157e-08j),(0.0007256750133772066-0.0002177543189095086j),(-5.160111259838005e-07+4.03262459338402e-07j),(-0.00034654142972855945+0.00022909774520790801j),(-6.187406925594186e-07+3.5278092220133324e-06j),(6.857406434802524e-06+1.0959189531965366e-07j),(-1.1832807977455693e-08+3.876252074553306e-09j),(7.472999708717832e-06+2.9939245181611074e-06j),(-1.2850243949721805e-07+1.4412947714355585e-08j),(8.06931902170566e-07-1.961731217603628e-07j),(4.805926166881912e-08+2.411366242666917e-08j),(1.1338723169648997e-07+9.951560518631919e-08j),(-1.7371617095345605e-07+2.679107825057672e-07j),(0.031067381652492468-0.0010604474600133637j),(-1.0115511698356166e-06-1.3063530393513841e-06j),(2.7818968736845898e-08+3.837668263497058e-08j),(9.535202578958257e-07+3.6188610967275226e-06j),(2.9176560336740575e-06+1.0232769760812059e-05j),(2.3351656770119013e-08-1.2778476380090325e-08j),(-7.562814766108458e-11+8.574065161441693e-09j),(-1.3457720186675568e-05-0.00012200484583489323j),(4.632219545502949e-07+9.85992030619902e-08j),(-8.442210293578683e-08+1.311897981497972e-07j),(0.030939102972848794-0.0005305133360880539j)
0.02,(0.026386168066144848-0.005555672732083742j),(1.070280829049284e-05-5.370100160905364e-06j),(3.389505160846908e-06+1.2276713164448712e-07j),(1.8179258850700475e-06-4.750733326275149e-07j),(-6.756184784912495e-07+9.428939511159267e-08j),(-3.8644140603773296e-07+5.2435048334445945e-09j),(-1.8544801560305883e-08+1.2907603199174108e-08j),(-4.108434861004302e-07+1.3943001818020263e-06j),(2.727030257603335e-06-2.9169050891354547e-06j),(4.5975384002560645e-05+0.00013440200580932694j),(-3.1114374635328363e-06+1.7608360801650013e-06j),(3.5945145355157614e-07+7.738591561113417e-09j),(2.0318895774471256e-08-4.235627781280732e-09j),(1.2699515489035949e-07+3.9298410256897e-09j),(-8.71383151514972e-06-2.4426356995298726e-05j),(3.479656553395316e-08-6.066986712834055e-08j),(-7.240016168239056e-05+2.9501158837566934e-05j),(-1.9499978707765455e-06+3.2187368863673035e-06j),(-5.747406661455215e-07+1.1368468608623147e-06j),(-2.616787938020243e-07-1.3958772338086864e-06j),(-6.624997721302846e-05-2.1456619996898357e-05j),(-2.0107768756985264e-05-6.516264178137106e-06j),(-3.0720765092846806e-06+4.1873387443324906e-06j),(3.433832815828377e-06+5.6324139591306735e-06j),(-7.072843185981746e-07-8.655174228897129e-06j),(7.561476216495439e-08-6.496847043097848e-08j),(6.57698629962736e-07+2.3772798015475102e-07j),(3.3725779828896085e-08+2.1711936936390002e-08j),(0.0009454128426599079-0.0003214884284480763j),(-6.563934567349961e-07+5.521145220823997e-07j),(-0.00043763898621672587+0.0003180703211668172j),(-6.844882532663403e-07+4.54743443255136e-06j),(9.09972107287697e-06-2.6614493988284253e-07j),(-1.5281998693364488e-08+5.753775350462325e-09j),(9.812756168314393e-06+2.681527260242027e-06j),(-1.6207584788132534e-07+3.4818262313251245e-08j),(1.0480198448245533e-06-3.3691661474273866e-07j),(6.50147808200753e-08+2.6465545644115356e-08j),(1.5195290921450559e-07+1.2331294705273173e-07j),(-2.1062898318587295e-07+3.648841144880023e-07j),(0.031001285293124892-0.0014304206814632606j),(-1.4159579956558966e-06-1.700661361442782e-06j),(3.7617301181232796e-08+5.150990131816868e-08j),(1.3962717482495087e-06+4.884985244220652e-06j),(4.122484575281427e-06+1.4282152260166977e-05j),(2.984148116140639e-08-1.9846919111746052e-08j),(3.1380367537712237e-10+1.1395941273310395e-08j),(-2.2652476205933636e-05-0.00016377204436334824j),(6.162494681812892e-07+1.2863544181374362e-07j),(-1.2130465804065273e-07+1.6783544476173802e-07j),(0.030826047167904116-0.0007035407011821704j)
0.025,(0.02504810691810977-0.006716937261608217j),(1.2780077267912171e-05-7.32318036971703e-06j),(4.175455991581189e-06-3.792717632958732e-08j),(2.2432806843417863e-06-6.601047436670846e-07j),(-8.224007715965315e-07+1.3872079559508267e-07j),(-4.7489055172655053e-07+2.042245381907199e-08j),(-2.1262266083656128e-08+1.649037102168518e-08j),(-4.4374641389837246e-07+1.7305695136316348e-06j),(3.1160632563547503e-06-3.900475567214869e-06j),(6.591551343028533e-05+0.0001576454344214813j),(-3.751296700340278e-06+2.288450703492436e-06j),(4.430323871031284e-07-9.011572061806933e-09j),(2.4846283809269575e-08-6.6844884825112924e-09j),(1.548465382554315e-07-1.7610482851205566e-09j),(-8.81680345612358e-06-3.082709308780516e-05j),(3.7780052072286865e-08-7.675237916860283e-08j),(-8.418190957320701e-05+3.766429199574243e-05j),(-2.1594283666051472e-06+3.9342311690174856e-06j),(-6.821891863177172e-07+1.4190074024387307e-06j),(-4.54860784048819e-07-1.6608744542505677e-06j),(-8.220773428468729e-05-2.1597068627106998e-05j),(-2.4599814275472055e-05-6.012944583985734e-06j),(-3.2951417714966375e-06+5.520630406376318e-06j),(4.4962868094902664e-06+6.7509714784477115e-06j),(-1.0012762119098384e-06-1.0773759173303091e-05j),(9.482501314154291e-08-8.540164775962423e-08j),(7.990214854292575e-07+3.0151901366374374e-07j),(4.1856785497178896e-08+2.459971513580689e-08j),(0.001152716484443819-0.0004384988444311611j),(-7.769393741553552e-07+7.037152117356848e-07j),(-0.0005157529932695487+0.0004103579061829429j),(-7.080130178310528e-07+5.510621598113366e-06j),(1.1262778000671053e-05-8.087022903947644e-07j),(-1.8398850097816735e-08+7.863411420415408e-09j),(1.1968264636522627e-05+1.8130244828885593e-06j),(-1.889713141830317e-07+6.06205025879335e-08j),(1.2674110451060096e-06-5.088498006318675e-07j),(8.162222333665804e-08+2.6106879692566422e-08j),(1.8966395608464455e-07+1.4206627273228246e-07j),(-2.363522545181202e-07+4.6282512570312535e-07j),(0.030937140034938342-0.0018116933877232655j),(-1.8554938120174835e-06-2.069034352159031e-06j),(4.7812951192934095e-08+6.484607607410717e-08j),(1.9524836130407077e-06+6.18165571487171e-06j),(5.616198602201809e-06+1.8787330557779413e-05j),(3.530056864983637e-08-2.821717275530047e-08j),(9.254936156746291e-10+1.4177958799966636e-08j),(-3.4376934962395784e-05-0.00020596037629722262j),(7.689293922908086e-07+1.5699439591950155e-07j),(-1.6285877418791684e-07+2.0068692615683387e-07j),(0.030711214020322605-0.0008755205334334653j)
0.03,(0.02367333778633587-0.007781686260236289j),(1.456114948881906e-05-9.439456534245103e-06j),(4.91544844182718e-06-2.6536537120503946e-07j),(2.6474058134256197e-06-8.675142983509528e-07j),(-9.584059057791826e-07+1.892600874269986e-07j),(-5.575464809583028e-07+4.0356400844492036e-08j),(-2.3220137964813847e-08+2.0035572079474498e-08j),(-4.5026343553394265e-07+2.053685204942173e-06j),(3.3575556226383444e-06-4.939398853974963e-06j),(8.857452498667525e-05+0.00017701678836484647j),(-4.3251413342006466e-06+2.8359573712273094e-06j),(5.217602163515509e-07-3.22699895271241e-08j),(2.89993248594024e-08-9.578921797871592e-09j),(1.8052260409638052e-07-9.55934280578394e-09j),(-8.326591153050539e-06-3.729596792936163e-05j),(3.85319738946082e-08-9.252813150192443e-08j),(-9.368913167398929e-05+4.5981603788783774e-05j),(-2.271849232725039e-06+4.601225063902118e-06j),(-7.736497378278877e-07+1.6945663326198309e-06j),(-6.857203235007253e-07-1.8828357024306446e-06j),(-9.785332243956198e-05-1.98905215332011e-05j),(-2.8739393865811002e-05-4.8013387436465315e-06j),(-3.2528314993648235e-06+6.910584773008031e-06j),(5.6087660085682955e-06+7.732860283115073e-06j),(-1.3393368304725237e-06-1.283685283934849e-05j),(1.1400277124928162e-07-1.087620944933784e-07j),(9.309332287755316e-07+3.666305423210858e-07j),(4.964495405539022e-08+2.6546382991513813e-08j),(0.0013466396411125293-0.0005678515803156167j),(-8.775676421194715e-07+8.556125199708968e-07j),(-0.0005806590132880203+0.0005047709983803485j),(-6.847483776097112e-07+6.416653266255307e-06j),(1.3337320070274366e-05-1.5086303299250219e-06j),(-2.1168075642562925e-08+1.0163502393698476e-08j),(1.3891936600751996e-05+4.402101738511093e-07j),(-2.0862264448571337e-07+9.037420515808745e-08j),(1.4617653279370442e-06-7.082684072317026e-07j),(9.749780202830629e-08+2.3233661096045145e-08j),(2.2598350357048555e-07+1.560195255301717e-07j),(-2.509589572520173e-07+5.602961900624389e-07j),(0.0308750012176683-0.002204238138174973j),(-2.328721508387308e-06-2.4092745437893005e-06j),(5.840982782394332e-08+7.836220862894846e-08j),(2.6302775256975098e-06+7.505509764608681e-06j),(7.405853089036733e-06+2.3739355890620475e-05j),(3.954401833726506e-08-3.776509894052044e-08j),(1.753126517365653e-09+1.6908219227666603e-08j),(-4.867907869732722e-05-0.0002484247921458861j),(9.209771432331526e-07+1.8389778065741985e-07j),(-2.0912004541578922e-07+2.2923963631573188e-07j),(0.030595562889298194-0.0010466600504735215j)
0.035,(0.022268397856228115-0.008748427124966889j),(1.603379414390673e-05-1.1681131939554602e-05j),(5.603398884238419e-06-5.528331855167571e-07j),(3.028214316650571e-06-1.0950013658543853e-06j),(-1.0838455701278656e-06+2.450262393583986e-07j),(-6.340574625994475e-07+6.42045535751788e-08j),(-2.44576522468324e-08+2.3443759437748037e-08j),(-4.322237586747861e-07+2.3620593857199214e-06j),(3.4432836428394633e-06-6.0126729280367e-06j),(0.00011393615571774328+0.00019222454864473146j),(-4.8322187106012125e-06+3.3963895321888074e-06j),(5.95111454454505e-07-6.147137614073693e-08j),(3.2742920364079515e-08-1.286877078503273e-08j),(2.0393510153181324e-07-1.9164659186020168e-08j),(-7.285547813605962e-06-4.3887317579910606e-05j),(3.7150281817808384e-08-1.0774926084920946e-07j),(-0.00010092140425830057+5.4384075291538235e-05j),(-2.2928465841419164e-06+5.2177634551080004e-06j),(-8.500008180613938e-07+1.962515389054013e-06j),(-9.490503519582771e-07-2.0598804099224883e-06j),(-0.00011311656408238724-1.6254527511964913e-05j),(-3.249999189306302e-05-2.925713737149945e-06j),(-2.9286105898608053e-06+8.328178639681627e-06j),(6.755430185528212e-06+8.576545496180902e-06j),(-1.714346915988246e-06-1.4846832421826229e-05j),(1.3248715718631305e-07-1.349533203572985e-07j),(1.0545367152247785e-06+4.3261253381374713e-07j),(5.704092101139439e-08+2.7601484902090908e-08j),(0.0015263395140625265-0.0007086174875424569j),(-9.587146174628226e-07+1.0058177153209606e-06j),(-0.0006322123184417724+0.0006001621567607797j),(-6.129859047656807e-07+7.261810146823224e-06j),(1.5316317430098083e-05-2.362955688729508e-06j),(-2.3584749188731747e-08+1.2620683656847355e-08j),(1.554034989980339e-05-1.384470118414052e-06j),(-2.206926772769968e-07+1.2268969685589842e-07j),(1.628280505479455e-06-9.314243652858295e-07j),(1.1232554262436202e-07+1.807974263452992e-08j),(2.605071558799066e-07+1.655130761673351e-07j),(-2.5469287764923574e-07+6.560258177144551e-07j),(0.030813135918361833-0.002606787551486091j),(-2.8326389248354167e-06-2.7198650844937926e-06j),(6.936058770707755e-08+9.200698432484201e-08j),(3.422787739693986e-06+8.850691713762618e-06j),(9.434107438740037e-06+2.9068687183489582e-05j),(4.241714458151183e-08-4.832486613991646e-08j),(2.780202114888553e-09+1.957560601253322e-08j),(-6.556876657602825e-05-0.0002909748727128185j),(1.0717814898302582e-06+2.0982000289570808e-07j),(-2.6002754152958115e-07+2.527533740719823e-07j),(0.030479518951363343-0.001216961545438394j)
0.04,(0.020839724968960117-0.009616213665184118j),(1.71925267581142e-05-1.4012396814263578e-05j),(6.235480878573703e-06-8.932512734523899e-07j),(3.384768869241113e-06-1.3406128094109754e-06j),(-1.199400553531593e-06+3.054151017080314e-07j),(-7.044676393770061e-07+9.11220251450216e-08j),(-2.5036305700496328e-08+2.6618159096725685e-08j),(-3.914156631137708e-07+2.6553312118517387e-06j),(3.367076934012558e-06-7.099897816709387e-06j),(0.00014196349456868936+0.00020278029732352388j),(-5.274013911584708e-06+3.963691777752831e-06j),(6.627951559258463e-07-9.611599848361161e-08j),(3.605643520534544e-08-1.651225512971971e-08j),(2.250965026423653e-07-3.0283301993614454e-08j),(-5.733922923863344e-06-5.0701867351063186e-05j),(3.3756962070395105e-08-1.2220830927436068e-07j),(-0.00010586228840716844+6.276604446784019e-05j),(-2.227227064594503e-06+5.7829322323528055e-06j),(-9.124216282706085e-07+2.2229257759849277e-06j),(-1.2406564129872397e-06-2.1906251472242584e-06j),(-0.00012788286103812305-1.0558876904828485e-05j),(-3.585939613848559e-05-4.139677409865622e-07j),(-2.30852080196126e-06+9.743214192417666e-06j),(7.921702186669063e-06+9.285125153481234e-06j),(-2.1216982378712443e-06-1.6816392163753812e-05j),(1.497797847862115e-07-1.6359360710864093e-07j),(1.1714588664710556e-06+4.989260599330336e-07j),(6.401729575651679e-08+2.7813196100665315e-08j),(0.0016910749211780096-0.0008598756043276959j),(-1.0213470899612933e-06+1.152807788521995e-06j),(-0.0006703477250101268+0.0006954303462496623j),(-4.937584927546383e-07+8.039301587248341e-06j),(1.7195126088249678e-05-3.3753062808609993e-06j),(-2.565450292365807e-08+1.5209906309647414e-08j),(1.687434348710605e-05-3.6080814804065775e-06j),(-2.2507483283700672e-07+1.562349825312417e-07j),(1.7646961792505399e-06-1.1745339042769142e-06j),(1.2585778236590494e-07+1.0916867774789444e-08j),(2.929641828535388e-07+1.7098629954700037e-07j),(-2.479698506428964e-07+7.489111684065191e-07j),(0.030748022951377584-0.0030168343056104314j),(-3.362678852034959e-06-2.999969738303734e-06j),(8.056663505597728e-08+1.0570077211992422e-07j),(4.308161088550183e-06+1.0208852947067618e-05j),(1.1579225482617846e-05+3.4645191049014436e-05j),(4.379547699635916e-08-5.968894966874245e-08j),(3.980035032985821e-09+2.2169784580556144e-08j),(-8.501773468783412e-05-0.0003333748290956097j),(1.2204045533716966e-06+2.3548816109262882e-07j),(-3.154238081017041e-07+2.702523431120382e-07j),(0.03036297320038901-0.0013862223869686053j)
0.045,(0.01939365480891807-0.010384632528355316j),(1.8038010203818065e-05-1.6398549169436544e-05j),(6.809707629350419e-06-1.279078517570842e-06j),(3.717023447709798e-06-1.6025692634417295e-06j),(-1.306099398352411e-06+3.7001727159983837e-07j),(-7.691112878952605e-07+1.202610381318851e-07j),(-2.5036223532038604e-08+2.946609647386012e-08j),(-3.2965475401443723e-07+2.9340593313529616e-06j),(3.125077607202464e-06-8.18097466585547e-06j),(0.00017259492033589143+0.00020806935405620624j),(-5.653832361735538e-06+4.532383029357037e-06j),(7.247029417368076e-07-1.357317433136006e-07j),(3.893168396605351e-08-2.0472526693888562e-08j),(2.4409846130472656e-07-4.262148899818122e-08j),(-3.711093645607162e-06-5.787064636561973e-05j),(2.8498987385558447e-08-1.3573118513613023e-07j),(-0.00010848919165697283+7.099447574818825e-05j),(-2.0793968132554877e-06+6.296636052544275e-06j),(-9.62351802114758e-07+2.4766537470913953e-06j),(-1.5570619292175674e-06-2.2742146675535213e-06j),(-0.0001420073251006553-2.647750226542682e-06j),(-3.879959963781525e-05+2.716779051372035e-06j),(-1.381794936248498e-06+1.1123810711125378e-05j),(9.093832268589508e-06+9.865499059781298e-06j),(-2.558325207056587e-06-1.8765631039997845e-05j),(1.6552690523246583e-07-1.9407014726911896e-07j),(1.283672065901654e-06+5.650050101084927e-07j),(7.056337771700518e-08+2.7230502977564405e-08j),(0.0018402164222490306-0.0010206953563907317j),(-1.066860177901239e-06+1.2953946502137513e-06j),(-0.0006950916635443623+0.00078950140525519j),(-3.304834668685607e-07+8.740098014983837e-06j),(1.8971033324958446e-05-4.553438560981469e-06j),(-2.7391658942359638e-08+1.7911955292924703e-08j),(1.7859633327471602e-05-6.176055892059229e-06j),(-2.2188845925376004e-07+1.8972326817485844e-07j),(1.8693022470462461e-06-1.4337140471925077e-06j),(1.3790812189527993e-07+2.0541541823848e-09j),(3.231865935696356e-07+1.7295852971157342e-07j),(-2.313724855454218e-07+8.379816625681672e-07j),(0.030674352868385765-0.0034306311377879156j),(-3.912709031262201e-06-3.249432885121381e-06j),(9.187812166510656e-08+1.1933562458831858e-07j),(5.249556985832129e-06+1.1569151913660835e-05j),(1.3655075480328592e-05+4.027814178765107e-05j),(4.358476045155283e-08-7.1608131684996e-08j),(5.315754786704091e-09+2.4681202327591765e-08j),(-0.00010695959604611514-0.00037534350268595985j),(1.3655818076146756e-06+2.6188204529649845e-07j),(-3.750548664716711e-07+2.805251519752554e-07j),(0.03024528244758466-0.0015540350192091525j)
